Id,organism,seedid,kingdom,phylum,mclass,order,family,genus,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,phenotype,imgid,ncbiid,platform,kbaseid
bio/ABIDE,"""Abiotrophia defectiva ATCC 49176""","""Abiotrophia defectiva ATCC 49176 (592010.4)""",Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative_or_respiratory,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionPathogen,631,2428,1250,Eugen Bauer,2014-07-01,1.0,2562617177.0,592010.0,dcs:DataCollectionPlatformModelSEED,
bio/ACHXY,"""Achromobacter xylosoxidans A8""","""Achromobacter xylosoxidans A8 (762376.5)""",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeRespiratory,dcs:BacteriaGramStainTypeNegative,,1663,1668,1229,,,,,762376.0,dcs:DataCollectionPlatformModelSEED,kb_g_3268_model_gf
bio/ACHXY,"""Achromobacter xylosoxidans NBRC 15126 = ATCC 27061""","""nan""",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeRespiratory,dcs:BacteriaGramStainTypeNegative,,1380,1674,1216,,,,,1216976.0,dcs:DataCollectionPlatformKbase,kb|g.208127
bio/ACIFE,"""Acidaminococcus fermentans DSM 20731""","""Acidaminococcus fermentans DSM 20731 (591001.3)""",Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeFermentative,dcs:BacteriaGramStainTypeNegative,,645,1102,905,Laura Kutt,2016-04-17,,646311901.0,591001.0,dcs:DataCollectionPlatformKbase,kb|g.2555
bio/ACIIN,"""Acidaminococcus intestini RyC-MR95""","""Acidaminococcus intestini RyC-MR95 (568816.4)""",Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeAsaccharolytic_glutamate_is_fermented,dcs:BacteriaGramStainTypeNegative,dcs:PathogenMethodOfInvasionCommensal,600,1001,828,Eugen Bauer,2014-08-03,4.0,2511231106.0,568816.0,dcs:DataCollectionPlatformKbase,
bio/ACISP,"""Acidaminococcus sp. D21""","""Acidaminococcus sp. D21 (563191.3)""",Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeAsaccharolytic_glutamate_is_fermented,dcs:BacteriaGramStainTypeNegative,dcs:PathogenMethodOfInvasionCommensal,562,860,770,Ines Thiele,2012-06-29,3.0,643886056.0,563191.0,dcs:DataCollectionPlatformKbase,
bio/ACIBA,"""Acinetobacter baumannii AB0057""","""Acinetobacter baumannii AB0057 (480119.5)""",Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeRespiratory,dcs:BacteriaGramStainTypeNegative,,1021,1593,1181,,,,,480119.0,dcs:DataCollectionPlatformKbase,kb|g.1744
bio/ACICA,"""Acinetobacter calcoaceticus PHEA-2""","""Acinetobacter calcoaceticus PHEA-2 (871585.3)""",Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeRespiratory,dcs:BacteriaGramStainTypeNegative,,1026,1586,1164,Laura Kutt,2016-04-18,,650377903.0,871585.0,dcs:DataCollectionPlatformKbase,kb|g.3519
bio/ACIHA,"""Acinetobacter haemolyticus NIPH 261""","""Acinetobacter haemolyticus NIPH 261 (1217986.3)""",Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeRespiratory,dcs:BacteriaGramStainTypeNegative,,876,1382,1073,Laura Kutt,2016-04-18,,2537561834.0,1217986.0,dcs:DataCollectionPlatformModelSEED,kb|g.31235
bio/ACIJO,"""Acinetobacter johnsonii SH046""","""Acinetobacter johnsonii SH046 (575586.4)""",Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeAsaccharolytic,dcs:BacteriaGramStainTypeNegative,,863,1446,1068,Laura Kutt,2016-04-18,,646206268.0,575586.0,dcs:DataCollectionPlatformModelSEED,kb|g.2448
bio/ACIJU,"""Acinetobacter junii SH205""","""Acinetobacter junii SH205 (575587.3)""",Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeStrictly_respiratory_amino_acids_utilized,dcs:BacteriaGramStainTypeNegative,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,753,1295,951,Ines Thiele,2012-06-29,5.0,646206269.0,575587.0,dcs:DataCollectionPlatformModelSEED,
bio/ACILW,"""Acinetobacter lwoffii WJ10621""","""Acinetobacter lwoffii WJ10621 (1046625.3)""",Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeRespiratory,dcs:BacteriaGramStainTypeNegative,,798,1356,1024,Laura Kutt,2016-04-18,,2547132098.0,1046625.0,dcs:DataCollectionPlatformModelSEED,kb|g.23426
bio/ACIPI,"""Acinetobacter pittii ANC 4052""","""Acinetobacter pittii ANC 4052 (1217689.3)""",Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeAsaccharolytic,dcs:BacteriaGramStainTypeNegative,,1021,1582,1146,Laura Kutt,2016-04-18,,2531839647.0,1217689.0,dcs:DataCollectionPlatformKbase,kb|g.31207
bio/ACIRA,"""Acinetobacter radioresistens NIPH 2130""","""Acinetobacter radioresistens NIPH 2130 (1217674.3)""",Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,dcs:OxygenRequirementStatusAerobe,dcs:MicrobialMetabolismTypeAsaccharolytic,dcs:BacteriaGramStainTypeNegative,,857,1425,1076,Laura Kutt,2016-04-18,,2529293102.0,1217674.0,dcs:DataCollectionPlatformKbase,kb|g.31202
bio/ACTPL,"""Actinobacillus pleuropneumoniae L20""","""Actinobacillus pleuropneumoniae L20 (416269.5)""",Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,772,1403,1027,Laura Kutt,2016-06-02,,640069302.0,416269.0,dcs:DataCollectionPlatformKbase,kb|g.1403
bio/ACTCA,"""Actinomyces cardiffensis F0333""","""Actinomyces cardiffensis F0333 (888050.3)""",Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,580,1065,850,chenry,2016-04-15,,2534682138.0,888050.0,dcs:DataCollectionPlatformKbase,kb|g.32379
bio/ACTGE,"""Actinomyces georgiae  DSM 6843""","""nan""",Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,536,1068,860,chenry,2016-04-15,,,1120942.0,dcs:DataCollectionPlatformKbase,kb|g.207006
bio/ACTGR,"""Actinomyces graevenitzii  C83""","""Actinomyces graevenitzii C83 (435830.3)""",Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,529,1032,868,chenry,2016-04-15,,2513237375.0,435830.0,dcs:DataCollectionPlatformKbase,kb|g.26676
bio/ACTNA,"""Actinomyces naeslundii str. Howell 279""","""nan""",Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,668,1203,959,chenry,2016-04-15,,2531839542.0,1115803.0,dcs:DataCollectionPlatformKbase,kb|g.24325
bio/ACTOD,"""Actinomyces odontolyticus ATCC 17982""","""Actinomyces odontolyticus ATCC 17982 (411466.7)""",Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,577,1741,1079,Ines Thiele,2012-06-29,5.0,640963058.0,411466.0,dcs:DataCollectionPlatformKbase,
bio/ACTOR,"""Actinomyces oris K20""","""nan""",Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,534,1148,927,chenry,2016-04-15,,649989901.0,871541.0,dcs:DataCollectionPlatformModelSEED,kb|g.27961
bio/ACTTU,"""Actinomyces turicensis ACS-279-V-Col4""","""Actinomyces turicensis ACS-279-V-Col4 (883077.3)""",Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,591,1129,887,chenry,2016-04-15,,2534682016.0,883077.0,dcs:DataCollectionPlatformModelSEED,kb|g.28017
bio/ACTUR,"""Actinomyces urogenitalis DSM 15434""","""Actinomyces urogenitalis DSM 15434 (525246.3)""",Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,690,1247,946,chenry,2016-04-15,,,525246.0,dcs:DataCollectionPlatformKbase,kb|g.1979
bio/ACTVI,"""Actinomyces viscosus  C505""","""Actinomyces viscosus C505 (562973.4)""",Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionOpportunistic_pathogen,722,1234,956,chenry,2016-04-15,,,562973.0,dcs:DataCollectionPlatformKbase,kb|g.2332
bio/ADLEQ,"""Adlercreutzia equolifaciens DSM 19450""","""nan""",Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,dcs:OxygenRequirementStatusObligate_anaerobe,dcs:MicrobialMetabolismTypeAsaccharolytic_nonfermentative,dcs:BacteriaGramStainTypePositive,dcs:PathogenMethodOfInvasionCommensal,590,942,813,chenry,2014-09-09,,2597489914.0,1384484.0,dcs:DataCollectionPlatformKbase,
bio/AERVI,"""Aerococcus viridans ATCC 11563""","""Aerococcus viridans ATCC 11563 (655812.3)""",Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypePositive,,667,1209,941,Laura Kutt,2016-04-17,,647000207.0,655812.0,dcs:DataCollectionPlatformKbase,kb|g.2789
bio/AERCA,"""Aeromonas caviae Ae398""","""Aeromonas caviae Ae398 (878320.4)""",Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,1090,1569,1122,Laura Kutt,2016-04-18,,651324007.0,878320.0,dcs:DataCollectionPlatformKbase,kb|g.3542
bio/AERHY,"""Aeromonas hydrophila subsp. hydrophila ATCC 7966""","""Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.5)""",Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,dcs:OxygenRequirementStatusFacultative_anaerobe,dcs:MicrobialMetabolismTypeSaccharolytic_fermentative,dcs:BacteriaGramStainTypeNegative,,1105,1588,1140,Laura Kutt,2016-04-18,,639633004.0,380703.0,dcs:DataCollectionPlatformKbase,kb|g.26547
