Id,subsystem
bio/transport_lysosomal,transport_lysosomal
bio/transport_mitochondrial,transport_mitochondrial
bio/transport_endoplasmic_reticular,transport_endoplasmic_reticular
bio/beta-alanine_metabolism,beta-alanine_metabolism
bio/vitamin_d_metabolism,vitamin_d_metabolism
bio/transport_extracellular,transport_extracellular
bio/lysine_metabolism,lysine_metabolism
bio/glycine_serine_alanine_and_threonine_metabolism,glycine_serine_alanine_and_threonine_metabolism
bio/methionine_and_cysteine_metabolism,methionine_and_cysteine_metabolism
bio/pyrimidine_catabolism,pyrimidine_catabolism
bio/propanoate_metabolism,propanoate_metabolism
bio/tryptophan_metabolism,tryptophan_metabolism
bio/tyrosine_metabolism,tyrosine_metabolism
bio/ubiquinone_synthesis,ubiquinone_synthesis
bio/transport_nuclear,transport_nuclear
bio/valine_leucine_and_isoleucine_metabolism,valine_leucine_and_isoleucine_metabolism
bio/sphingolipid_metabolism,sphingolipid_metabolism
bio/butanoate_metabolism,butanoate_metabolism
bio/purine_catabolism,purine_catabolism
bio/taurine_and_hypotaurine_metabolism,taurine_and_hypotaurine_metabolism
bio/arginine_and_proline_metabolism,arginine_and_proline_metabolism
