humanGEMID,abbreviation,description,formula,subsystem,ecnumber,keggId,keggorthology,cog,seed,metanetx,metaboliteMatch,Id,reactant_compartment,product_compartment,r_comp,p_comp,bool-val,rcc,pcc
HMR_7915,10FTHF5GLUtl,"""5-Glutamyl-10Fthf Transport, Lysosomal""","""10fthf5glu[c] -> 10fthf5glu[l] """,transport_lysosomal,"""nan""",,,,,MNXR94668,bio/10formyltetrahydrofolateglu5,bio/HMR_7915,c,l,c,l,1.0,,
HMR_7914,10FTHF5GLUtm,"""5-Glutamyl-10Fthf Transport, Mitochondrial""","""10fthf5glu[m] -> 10fthf5glu[c] """,transport_mitochondrial,"""nan""",,,,,MNXR94668,bio/10formyltetrahydrofolateglu5,bio/HMR_7914,m,c,m,c,1.0,,
HMR_7918,10FTHF6GLUtl,"""6-Glutamyl-10Fthf Transport, Lysosomal""","""10fthf6glu[c] -> 10fthf6glu[l] """,transport_lysosomal,"""nan""",,,,,MNXR94669,bio/10formyltetrahydrofolateglu6,bio/HMR_7918,c,l,c,l,1.0,,
HMR_7917,10FTHF6GLUtm,"""6-Glutamyl-10Fthf Transport, Mitochondrial""","""10fthf6glu[m] -> 10fthf6glu[c] """,transport_mitochondrial,"""nan""",,,,,MNXR94669,bio/10formyltetrahydrofolateglu6,bio/HMR_7917,m,c,m,c,1.0,,
HMR_7924,10FTHF7GLUtl,"""7-Glutamyl-10Fthf Transport, Lysosomal""","""10fthf7glu[c] -> 10fthf7glu[l] """,transport_lysosomal,"""nan""",,,,,MNXR94670,bio/10formyltetrahydrofolateglu7,bio/HMR_7924,c,l,c,l,1.0,,
HMR_7923,10FTHF7GLUtm,"""7-Glutamyl-10Fthf Transport, Mitochondrial""","""10fthf7glu[m] -> 10fthf7glu[c] """,transport_mitochondrial,"""nan""",,,,,MNXR94670,bio/10formyltetrahydrofolateglu7,bio/HMR_7923,m,c,m,c,1.0,,
HMR_7927,10FTHFtl,"""10-Formyltetrahydrofolate Lysosomal Transport via Diffusion""","""10fthf[c] <=> 10fthf[l] """,transport_lysosomal,"""nan""",,,,,MNXR94672,bio/10formyltetrahydrofolate,bio/HMR_7927,c,l,c,l,1.0,,
10FTHFtm,10FTHFtm,"""10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion""","""10fthf[c] <=> 10fthf[m] """,transport_mitochondrial,"""nan""",,,,,MNXR94672,bio/10formyltetrahydrofolate,bio/10FTHFtm,c,m,c,m,1.0,,
,11DOCRTSLtm,"""11-Deoxycortisol Intracellular Transport""","""11docrtsl[c] <=> 11docrtsl[m] """,transport_mitochondrial,"""nan""",,,,,MNXR94673,bio/CHEMBL253144,bio/11DOCRTSLtm,c,r,c,m,0.0,bio/CHEMBL253144_Cytosol,bio/CHEMBL253144_Mitochondria
HMR_7929,11DOCRTSLtr,"""11-Deoxycortisol Intracellular Transport""","""11docrtsl[c] <=> 11docrtsl[r] """,transport_endoplasmic_reticular,"""nan""",,,,,MNXR94673,bio/CHEMBL253144,bio/HMR_7929,c,r,c,r,1.0,,
,11DOCRTSTRNtm,"""11-Deoxycorticosterone Intracellular Transport""","""11docrtstrn[c] <=> 11docrtstrn[m] """,transport_mitochondrial,"""nan""",,,,,MNXR94674,bio/CHEMBL1498,bio/11DOCRTSTRNtm,c,r,c,m,0.0,bio/CHEMBL1498_Cytosol,bio/CHEMBL1498_Mitochondria
HMR_7933,11DOCRTSTRNtr,"""11-Deoxycorticosterone Intracellular Transport""","""11docrtstrn[c] <=> 11docrtstrn[r] """,transport_endoplasmic_reticular,"""nan""",,,,,MNXR94674,bio/CHEMBL1498,bio/HMR_7933,c,r,c,r,1.0,,
HMR_7992,13DAMPPOX,"""1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)""","""13dampp[c] + h2o[c] + o2[c] -> bamppald[c] + h2o2[c] + nh4[c] """,beta-alanine_metabolism,"""nan""",,,,rxn02250,MNXR94687,bio/CHEMBL174324,bio/HMR_7992,c,c,c,c,1.0,,
,1a_24_25VITD2Hm,"""1-Alpha-Vitamin D-24, 25-Hydroxylase (D2)""","""2425dhvitd2[m] + h[m] + nadph[m] + o2[m] -> 1a2425thvitd2[m] + h2o[m] + nadp[m] """,vitamin_d_metabolism,"""nan""",,,,,MNXR94714,0,bio/1a_24_25VITD2Hm,,,m,m,0.0,,
,1a_24_25VITD3Hm,"""1-Alpha-Vitamin D-24, 25-Hydroxylase (D3)""","""2425dhvitd3[m] + h[m] + nadph[m] + o2[m] -> 1a2425thvitd3[m] + h2o[m] + nadp[m] """,vitamin_d_metabolism,"""nan""",,,,,,0,bio/1a_24_25VITD3Hm,,,m,m,0.0,,
,1a_25VITD2Hm,"""1-Alpha, 24R, 25-Vitamin D-Hydroxylase (D2)""","""1a25dhvitd2[m] + h[m] + nadph[m] + o2[m] -> 1a2425thvitd2[m] + h2o[m] + nadp[m] """,vitamin_d_metabolism,"""nan""",,,,,MNXR94716,0,bio/1a_25VITD2Hm,,,m,m,0.0,,
,1a_25VITD3Hm,"""1-Alpha, 24R, 25-Vitamin D-Hydroxylase (D3)""","""1a25dhvitd3[m] + h[m] + nadph[m] + o2[m] -> 1a2425thvitd3[m] + h2o[m] + nadp[m] """,vitamin_d_metabolism,"""nan""",,,,,,0,bio/1a_25VITD3Hm,,,m,m,0.0,,
HMR_7679,1MNCAMti,"""N1-Methylnicotinamide Transport""","""1mncam[c] + atp[c] + h2o[c] -> 1mncam[e] + adp[c] + h[c] + pi[c] """,transport_extracellular,"""nan""",,,,,MNXR94710,bio/CHEMBL71733,bio/HMR_7679,c,"s,c",c,e,1.0,,
